tempo,x1,y1,z1,x2,y2,z2,distanza
3120,-6779.9,-1825.29,0,-7128.52,2151.29,0,3991.83
3140,-6740.73,-1970.56,0,-7151.47,2009.92,0,4001.62
3160,-6698.47,-2114.93,0,-7171.65,1867.76,0,4010.7
3180,-6653.12,-2258.33,0,-7189.01,1724.87,0,4019.09
3200,-6604.71,-2400.68,0,-7203.54,1581.31,0,4026.76
3220,-6553.27,-2541.94,0,-7215.2,1437.11,0,4033.73
3240,-6498.82,-2682.02,0,-7223.97,1292.34,0,4039.97
3260,-6441.39,-2820.88,0,-7229.84,1147.05,0,4045.5
3280,-6381.01,-2958.44,0,-7232.76,1001.29,0,4050.3
3300,-6317.7,-3094.65,0,-7232.72,855.117,0,4054.37
3320,-6251.5,-3229.44,0,-7229.69,708.594,0,4057.7
3340,-6182.44,-3362.75,0,-7223.66,561.777,0,4060.3
3360,-6110.55,-3494.53,0,-7214.6,414.725,0,4062.16
3380,-6035.87,-3624.7,0,-7202.49,267.497,0,4063.28
3400,-5958.43,-3753.22,0,-7187.32,120.155,0,4063.65
3420,-5878.27,-3880.03,0,-7169.06,-27.2377,0,4063.27
3440,-5795.42,-4005.07,0,-7147.69,-174.619,0,4062.14
3460,-5709.94,-4128.28,0,-7123.21,-321.924,0,4060.26
3480,-5621.85,-4249.61,0,-7095.6,-469.088,0,4057.62
3500,-5531.2,-4369,0,-7064.84,-616.044,0,4054.22
3520,-5438.03,-4486.4,0,-7030.92,-762.724,0,4050.07
3540,-5342.39,-4601.77,0,-6993.84,-909.061,0,4045.16
3560,-5244.32,-4715.03,0,-6953.57,-1054.98,0,4039.5
3580,-5143.86,-4826.16,0,-6910.12,-1200.42,0,4033.07
3600,-5041.07,-4935.09,0,-6863.48,-1345.31,0,4025.88
3620,-4935.99,-5041.79,0,-6813.63,-1489.57,0,4017.94
3640,-4828.67,-5146.19,0,-6760.59,-1633.13,0,4009.23
3660,-4719.15,-5248.26,0,-6704.34,-1775.91,0,3999.77
3680,-4607.5,-5347.95,0,-6644.89,-1917.84,0,3989.56
3700,-4493.76,-5445.21,0,-6582.23,-2058.86,0,3978.58
3720,-4377.98,-5540.01,0,-6516.38,-2198.87,0,3966.86
3740,-4260.22,-5632.3,0,-6447.33,-2337.8,0,3954.39
3760,-4140.53,-5722.04,0,-6375.09,-2475.58,0,3941.17
3780,-4018.97,-5809.19,0,-6299.68,-2612.12,0,3927.2
3800,-3895.59,-5893.71,0,-6221.1,-2747.35,0,3912.49
3820,-3770.45,-5975.57,0,-6139.37,-2881.19,0,3897.05
3840,-3643.6,-6054.73,0,-6054.49,-3013.55,0,3880.87
3860,-3515.11,-6131.15,0,-5966.5,-3144.36,0,3863.96
3880,-3385.03,-6204.8,0,-5875.41,-3273.54,0,3846.33
3900,-3253.42,-6275.65,0,-5781.24,-3401,0,3827.98
3920,-3120.35,-6343.67,0,-5684.01,-3526.67,0,3808.92
3940,-2985.86,-6408.82,0,-5583.76,-3650.46,0,3789.15
3960,-2850.03,-6471.09,0,-5480.5,-3772.28,0,3768.68
3980,-2712.91,-6530.43,0,-5374.29,-3892.07,0,3747.52
4000,-2574.57,-6586.83,0,-5265.13,-4009.73,0,3725.67
4020,-2435.07,-6640.27,0,-5153.08,-4125.18,0,3703.14
4040,-2294.47,-6690.71,0,-5038.18,-4238.35,0,3679.94
4060,-2152.84,-6738.13,0,-4920.46,-4349.15,0,3656.08
4080,-2010.24,-6782.52,0,-4799.97,-4457.5,0,3631.57
4100,-1866.73,-6823.86,0,-4676.76,-4563.33,0,3606.42
4120,-1722.39,-6862.12,0,-4550.87,-4666.54,0,3580.63
4140,-1577.26,-6897.3,0,-4422.37,-4767.07,0,3554.22
4160,-1431.43,-6929.36,0,-4291.3,-4864.83,0,3527.2
4180,-1284.95,-6958.31,0,-4157.73,-4959.76,0,3499.58
4200,-1137.9,-6984.13,0,-4021.7,-5051.76,0,3471.37
4220,-990.332,-7006.81,0,-3883.3,-5140.78,0,3442.58
4240,-842.319,-7026.33,0,-3742.58,-5226.73,0,3413.23
4260,-693.927,-7042.7,0,-3599.62,-5309.54,0,3383.32
4280,-545.223,-7055.89,0,-3454.48,-5389.15,0,3352.88
4300,-396.274,-7065.91,0,-3307.24,-5465.48,0,3321.92
4320,-247.146,-7072.75,0,-3157.98,-5538.47,0,3290.44
4340,-97.9078,-7076.41,0,-3006.78,-5608.05,0,3258.47
4360,51.3748,-7076.89,0,-2853.72,-5674.16,0,3226.02
4380,200.634,-7074.19,0,-2698.88,-5736.73,0,3193.11
4400,349.804,-7068.3,0,-2542.35,-5795.72,0,3159.74
4420,498.816,-7059.23,0,-2384.22,-5851.07,0,3125.95
4440,647.603,-7046.99,0,-2224.59,-5902.71,0,3091.74
4460,796.099,-7031.58,0,-2063.54,-5950.61,0,3057.13
4480,944.237,-7013,0,-1901.17,-5994.71,0,3022.13
4500,1091.95,-6991.27,0,-1737.59,-6034.97,0,2986.77
4520,1239.17,-6966.39,0,-1572.89,-6071.34,0,2951.07
4540,1385.84,-6938.37,0,-1407.17,-6103.79,0,2915.04
4560,1531.88,-6907.24,0,-1240.54,-6132.27,0,2878.69
4580,1677.23,-6872.99,0,-1073.1,-6156.77,0,2842.06
4600,1821.82,-6835.65,0,-904.963,-6177.25,0,2805.15
4620,1965.6,-6795.23,0,-736.231,-6193.67,0,2767.99
4640,2108.49,-6751.75,0,-567.015,-6206.03,0,2730.59
4660,2250.43,-6705.23,0,-397.425,-6214.3,0,2692.98
4680,2391.35,-6655.69,0,-227.573,-6218.47,0,2655.17
4700,2531.2,-6603.14,0,-57.5707,-6218.52,0,2617.19
4720,2669.91,-6547.62,0,112.47,-6214.45,0,2579.05
4740,2807.41,-6489.15,0,282.436,-6206.25,0,2540.77
4760,2943.65,-6427.75,0,452.215,-6193.93,0,2502.38
4780,3078.55,-6363.45,0,621.692,-6177.48,0,2463.89
4800,3212.07,-6296.28,0,790.755,-6156.92,0,2425.33
4820,3344.14,-6226.26,0,959.291,-6132.25,0,2386.7
4840,3474.7,-6153.44,0,1127.19,-6103.5,0,2348.04
4860,3603.69,-6077.83,0,1294.33,-6070.67,0,2309.37
4880,3731.05,-5999.48,0,1460.61,-6033.8,0,2270.69
4900,3856.72,-5918.41,0,1625.92,-5992.91,0,2232.04
4920,3980.65,-5834.67,0,1790.15,-5948.03,0,2193.43
4940,4102.78,-5748.28,0,1953.18,-5899.19,0,2154.88
4960,4223.05,-5659.3,0,2114.92,-5846.43,0,2116.41
4980,4341.4,-5567.75,0,2275.26,-5789.79,0,2078.04
5000,4457.79,-5473.68,0,2434.08,-5729.32,0,2039.79
5020,4572.17,-5377.13,0,2591.3,-5665.06,0,2001.68
5040,4684.46,-5278.14,0,2746.81,-5597.06,0,1963.72
5060,4794.64,-5176.76,0,2900.51,-5525.38,0,1925.94
5080,4902.63,-5073.02,0,3052.31,-5450.08,0,1888.35
5100,5008.4,-4966.99,0,3202.12,-5371.21,0,1850.96
5120,5111.9,-4858.7,0,3349.83,-5288.84,0,1813.81
5140,5213.07,-4748.2,0,3495.37,-5203.04,0,1776.9
5160,5311.87,-4635.54,0,3638.65,-5113.86,0,1740.25
5180,5408.26,-4520.77,0,3779.57,-5021.39,0,1703.89
5200,5502.18,-4403.94,0,3918.08,-4925.69,0,1667.81
5220,5593.59,-4285.11,0,4054.07,-4826.85,0,1632.06
5240,5682.46,-4164.32,0,4187.49,-4724.93,0,1596.63
5260,5768.74,-4041.63,0,4318.25,-4620.01,0,1561.55
5280,5852.38,-3917.11,0,4446.29,-4512.19,0,1526.83
5300,5933.35,-3790.79,0,4571.54,-4401.53,0,1492.49
5320,6011.62,-3662.74,0,4693.94,-4288.13,0,1458.55
5340,6087.13,-3533.02,0,4813.43,-4172.07,0,1425.03
5360,6159.86,-3401.68,0,4929.95,-4053.43,0,1391.93
5380,6229.78,-3268.79,0,5043.44,-3932.31,0,1359.28
5400,6296.84,-3134.39,0,5153.86,-3808.79,0,1327.1
5420,6361.01,-2998.57,0,5261.16,-3682.96,0,1295.4
5440,6422.27,-2861.37,0,5365.29,-3554.92,0,1264.21
5460,6480.58,-2722.85,0,5466.22,-3424.75,0,1233.53
5480,6535.92,-2583.09,0,5563.89,-3292.55,0,1203.4
5500,6588.26,-2442.14,0,5658.29,-3158.4,0,1173.83
5520,6637.56,-2300.06,0,5749.37,-3022.41,0,1144.85
5540,6683.82,-2156.93,0,5837.1,-2884.65,0,1116.47
5560,6727,-2012.81,0,5921.46,-2745.23,0,1088.73
5580,6767.08,-1867.76,0,6002.43,-2604.24,0,1061.65
5600,6804.04,-1721.84,0,6079.98,-2461.76,0,1035.25
5620,6837.87,-1575.14,0,6154.09,-2317.89,0,1009.57
5640,6868.54,-1427.71,0,6224.76,-2172.72,0,984.634
5660,6896.03,-1279.61,0,6291.96,-2026.35,0,960.478
5680,6920.34,-1130.93,0,6355.69,-1878.85,0,937.136
5700,6941.46,-981.725,0,6415.93,-1730.33,0,914.647
5720,6959.35,-832.065,0,6472.7,-1580.87,0,893.049
5740,6974.03,-682.019,0,6525.97,-1430.55,0,872.385
5760,6985.47,-531.657,0,6575.75,-1279.47,0,852.697
5780,6993.68,-381.049,0,6622.05,-1127.71,0,834.032
5800,6998.64,-230.264,0,6664.86,-975.356,0,816.437
5820,7000.35,-79.3719,0,6704.2,-822.495,0,799.96
5840,6998.81,71.5569,0,6740.07,-669.208,0,784.652
5860,6994.01,222.453,0,6772.48,-515.578,0,770.562
5880,6985.96,373.245,0,6801.44,-361.685,0,757.739
5900,6974.66,523.863,0,6826.97,-207.61,0,746.232
5920,6960.1,674.237,0,6849.09,-53.4308,0,736.087
5940,6942.3,824.297,0,6867.81,100.775,0,727.347
5960,6921.26,973.972,0,6883.14,254.931,0,720.051
5980,6896.99,1123.19,0,6895.12,408.962,0,714.233
6000,6869.5,1271.89,0,6903.77,562.796,0,709.92
6020,6838.79,1419.99,0,6909.1,716.36,0,707.133
6040,6804.89,1567.43,0,6911.14,869.583,0,705.885
6060,6767.8,1714.13,0,6909.93,1022.4,0,706.183
6080,6727.53,1860.03,0,6905.48,1174.73,0,708.023
6100,6684.12,2005.05,0,6897.83,1326.52,0,711.394
